,input,filtered,denoisedF,denoisedR,merged,nonchim,itsx,decontam.prev,p.not.unclassfungi
d5e26,6811,6809,6804,6801,6369,5700,5692,4794,4788
d5e27,4604,4604,4596,4596,4297,3881,3876,3256,3245
d5e28,7090,7090,7088,7086,6637,5908,5902,4917,4906
d5e29,24552,24551,24541,24534,22937,22748,22743,1183,1182
d5e30,3779,3779,3775,3776,3550,3015,3010,2106,2099
d5e31,627,627,626,625,588,530,529,448,445
d5e32,2089,2089,2087,2088,1954,1739,1737,1489,1479
d5e33,4329,4329,4326,4327,4056,3611,3605,3056,3044
d5e34,8622,8622,8615,8610,8039,7104,7103,5980,5962
d5e35,3149,3149,3148,3147,2967,2655,2654,2240,2233
d5e36,12702,12702,12692,12690,11661,10389,10370,8804,8780
d5e37,9809,9809,9803,9799,9070,8033,8011,6826,6796
d5e38,7583,7582,7569,7574,7060,6111,6103,5099,5075
d5e39,9566,9564,9558,9548,8836,7816,7811,6500,6459
d5e40,6881,6881,6871,6872,6370,5703,5697,4818,4803
d5e41,8328,8325,8315,8314,7741,6834,6827,5934,5914
d5e42a,8667,8666,8658,8658,7972,6998,6993,5923,5892
d5e43,10787,10783,10768,10761,10023,8853,8849,7423,7386
d5e44,11676,11676,11670,11667,10774,9605,9594,8117,8098
d5e45,8165,8165,8159,8157,7411,6352,6346,5337,5318
d5e46,6953,6952,6943,6940,6465,5679,5675,4819,4805
d5e47,9900,9900,9887,9889,9137,7979,7975,6636,6611
d5e48,12351,12351,12328,12335,11262,9754,9742,8242,8215
d5e49,11138,11136,11116,11117,10241,8927,8920,7661,7641
d5e50,12030,12028,12013,12013,11021,9545,9541,8011,7991
d5e51,9979,9975,9959,9954,9239,7939,7932,6408,6388
d5e52,9875,9875,9860,9866,9046,8058,8047,6741,6720
d5NC1,236,144,135,129,116,110,99,72,
d5NC2,248,163,144,137,121,109,82,57,
d5NC3,866,712,686,668,630,618,583,471,
d5NC4,770,638,619,583,428,416,384,164,
NFW2,448,198,182,169,135,126,89,62,
