,input,k.bact,p.nna,o.nchl,f.nmit
TSe22rcd10,48085,48085,48085,48006,47995
TSe23rcd10,27333,27333,27333,25973,25547
TSe24rcd10,66714,66714,66714,66578,66535
TSe25rcd10,39720,39720,39720,39656,39640
TSe26rcd10,39510,39510,39510,37382,36594
TSe27rcd10,37314,37314,37314,37136,37120
TSe28rcd10,6252,6252,6250,6129,6106
TSe29rcd10retry1p2,51584,51584,51578,51021,51012
TSe30rcd10retry1p2,970,970,970,928,909
TSe31rcd10,41731,41728,41728,41591,41559
TSe32rcd10,16,16,16,14,14
TSe33rcd10,36020,36020,36020,35763,35709
TSe34rcd10,10218,10218,10218,8946,7984
TSe35rcd10,12000,12000,12000,11604,11515
TSe36rcd10,19468,19468,19468,19456,19445
TSe37rcd10,6984,6984,6984,6735,6656
TSe38rcd10,24240,24240,24236,24212,24210
TSe39rcd10,44208,44208,44208,44053,44011
TSe40rcd10,4830,4830,4830,4795,4786
TSe41rcd10,42966,42966,42966,42695,42570
TSe42rcd10retry1p2,99,99,99,80,71
zymoMockDnacd10,0,0,0,0,0
zymoMockDnad100,5560,5560,5560,5560,5560
zymoMockDnad20retry1p2,45200,45200,45200,45200,45200
